candidate_name,filer_url,filing_name,filing_url,date_filed,report_type,reporting_period,total_contributions,total_monetary_contributions,total_inkind_contributions,total_expenditures,total_mcea_payments,return_of_mcea_funds,balance_beginning,balance_end,debt_balance,unitemized_total
Barbara Anne Bagshaw,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zs70f1znk,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zs70f1znk/filings/d_01ks8hm8b6fg7vak47mhjfk5d4,,Mcea Campaign Finance,"March 04, 2026 - May 26, 2026",,,,$72.28,$675.00,$0.00,"$1,000.00","$1,602.72",$0.00,
Barbara Anne Bagshaw,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zs70f1znk,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zs70f1znk/filings/d_01ksp1fzrsehh9dvqah80gz0qs,,Mcea Seed Money,"Unbounded - June 08, 2026","$1,000.00","$1,000.00",$0.00,"$1,072.28",,,$0.00,,$0.00,$0.00
Barbara Anne Bagshaw,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zs70f1znk,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zs70f1znk/filings/d_01kf4f3w4qe2jtscj5wdbbc6pw,,Campaign Finance,"December 01, 2025 - December 31, 2025","$1,000.00","$1,000.00",$0.00,$0.00,,,$0.00,"$1,000.00",$0.00,$0.00
Genevieve Lemire,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjj948ghfvz852drf972tbf4,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjj948ghfvz852drf972tbf4/filings/d_01ksh8t5j3fkwvp2eqh446wp2c,,Mcea Seed Money,"Unbounded - May 27, 2026",$515.00,$515.00,$0.00,$450.12,,,$0.00,$64.88,$0.00,$515.00
Walter Runte JR,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjeje61pf4k8etvt35jz0j17,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjeje61pf4k8etvt35jz0j17/filings/d_01ks881yqxeexa6azhprq2myn1,,Mcea Campaign Finance,"April 15, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Walter Runte JR,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjeje61pf4k8etvt35jz0j17,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjeje61pf4k8etvt35jz0j17/filings/d_01kp67mbcde3f8swfn8ayt95pc,,Mcea Seed Money,"Unbounded - April 14, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Oliver McAvoy,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjfrekfsfzkvqvt22bfas31z,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjfrekfsfzkvqvt22bfas31z/filings/d_01ks90wwr1fw5rp2my6hj65pjg,,Mcea Seed Money,"Unbounded - May 27, 2026","$1,000.00","$1,000.00",$0.00,$955.48,,,$0.00,$44.52,$0.00,$50.00
Michelle N Boyer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808axh1r8x,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808axh1r8x/filings/d_01ksqsymtqf0carmb67z2kwvy8,,Mcea Campaign Finance,"April 14, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Michelle N Boyer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808axh1r8x,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808axh1r8x/filings/d_01kp3tfn2febzthf0x9pzxd0nk,,Mcea Seed Money,"Unbounded - April 13, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Bruce Bickford,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8037vfnx57,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8037vfnx57/filings/d_01ksta6wp0fkv8vmg1xk1p38xw,,Mcea Campaign Finance,"April 22, 2026 - May 26, 2026",,,,$237.00,"$2,650.00",$0.00,$0.00,"$2,413.00",$0.00,
Bruce Bickford,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8037vfnx57,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8037vfnx57/filings/d_01kpr7t32vfqf8e1r2ydyrg2ft,,Mcea Seed Money,"Unbounded - April 21, 2026","$3,000.00","$3,000.00",$0.00,"$3,000.00",,,$0.00,$0.00,$0.00,$115.00
William R. Bridgeo,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zryk5a2kz,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zryk5a2kz/filings/d_01kst4tyahe329tjq3m3zfnsmd,,Mcea Campaign Finance,"April 22, 2026 - May 26, 2026",,,,$0.00,$671.00,$0.00,$4.00,$675.00,$0.00,
William R. Bridgeo,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zryk5a2kz,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zryk5a2kz/filings/d_01kpbcvbfwftasdgvqgkbqbs6v,,Mcea Seed Money,"Unbounded - April 21, 2026","$1,000.00","$1,000.00",$0.00,$996.00,,,$0.00,$4.00,$0.00,$0.00
Kirstan Watson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjj5qyg2fbysgzatktjdzzrz,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjj5qyg2fbysgzatktjdzzrz/filings/d_01ksqy1jmfeqdt880mcesg4mxe,,Mcea Campaign Finance,"May 14, 2026 - May 26, 2026",,,,$0.00,$670.15,$0.00,$4.85,$675.00,$0.00,
Kirstan Watson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjj5qyg2fbysgzatktjdzzrz,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjj5qyg2fbysgzatktjdzzrz/filings/d_01krgfk355fzetcczk31hbhvda,,Mcea Seed Money,"Unbounded - May 13, 2026","$1,000.00","$1,000.00",$0.00,$995.15,,,$0.00,$4.85,$0.00,$100.00
Mark Frederick Zimmer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9w80ws99,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9w80ws99/filings/d_01ks7z8eerfr8vnpdk3ab12mx3,,Mcea Campaign Finance,"March 18, 2026 - May 26, 2026",,,,$652.26,$675.00,$0.00,$0.00,$22.74,$495.87,
Mark Frederick Zimmer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9w80ws99,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9w80ws99/filings/d_01ksp1g4ytev49f76jmdd6jpwn,,Mcea Seed Money,"Unbounded - June 08, 2026",$920.00,$920.00,$0.00,"$1,572.26",,,$0.00,,$495.87,$0.00
Mark Frederick Zimmer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9w80ws99,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9w80ws99/filings/d_01kf4f3w4qe2jtscj5tm2qd1kz,,Campaign Finance,"November 01, 2025 - December 31, 2025",$920.00,$920.00,$0.00,$193.58,,,$0.00,$726.42,$0.00,$0.00
Pamela Jo Swift,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw807sffsaz7,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw807sffsaz7/filings/d_01ksqghcq3eznsbz4jtckresps,,Mcea Campaign Finance,"April 17, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Pamela Jo Swift,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw807sffsaz7,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw807sffsaz7/filings/d_01kpbmbx1hebhvccy4vg17h09b,,Mcea Seed Money,"Unbounded - April 16, 2026",$819.00,$819.00,$0.00,$819.00,,,$0.00,$0.00,$0.00,$19.00
Peter J. Southam,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806q8cn0vd,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806q8cn0vd/filings/d_01ksfhh0xdfr1affthav6gxzwe,,Mcea Campaign Finance,"April 17, 2026 - May 26, 2026",,,,"$1,263.66","$2,650.00",$0.00,$0.00,"$1,386.34",$0.00,
Peter J. Southam,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806q8cn0vd,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806q8cn0vd/filings/d_01kpbqs3fvfqt9fakzwcc24gks,,Mcea Seed Money,"Unbounded - April 16, 2026","$2,835.00","$2,835.00",$0.00,"$2,835.00",,,$0.00,$0.00,$582.28,$0.00
Steven Butterfield,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khbtp46gfv59jcd5d8zvy6ag,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khbtp46gfv59jcd5d8zvy6ag/filings/d_01krhh0aahe3482wf690zez29p,,Mcea Campaign Finance,"April 18, 2026 - May 26, 2026",,,,"$3,021.03","$3,305.77",$0.00,$19.23,$303.97,$0.00,
Steven Butterfield,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khbtp46gfv59jcd5d8zvy6ag,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khbtp46gfv59jcd5d8zvy6ag/filings/d_01kpdv6e3yeeeaqqywfcap13sw,,Mcea Seed Money,"Unbounded - April 17, 2026",$960.00,$960.00,$0.00,$940.77,,,$0.00,$19.23,$0.00,$0.00
Erik Hobson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjqsh9hne1zamr8ekvtaf4np,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjqsh9hne1zamr8ekvtaf4np/filings/d_01ksmw4x47f4bbxw958nsv8jhq,,Mcea Campaign Finance,"May 06, 2026 - May 26, 2026",,,,$251.25,$675.00,$0.00,$0.00,$423.75,$0.00,
Erik Hobson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjqsh9hne1zamr8ekvtaf4np,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjqsh9hne1zamr8ekvtaf4np/filings/d_01kqacshs6exsaheg4waxz6k2e,,Mcea Seed Money,"Unbounded - May 05, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$0.00
Roland Daniel Martin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8q6d0aecfry25181tgft4v,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8q6d0aecfry25181tgft4v/filings/d_01ksms5x2qfthr31waktg2td8w,,Mcea Campaign Finance,"April 09, 2026 - May 26, 2026",,,,$0.00,$665.00,$0.00,$10.00,$675.00,$0.00,
Roland Daniel Martin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8q6d0aecfry25181tgft4v,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8q6d0aecfry25181tgft4v/filings/d_01knq714kyedw85gepz0mdgrn3,,Mcea Seed Money,"Unbounded - April 08, 2026",$600.00,$600.00,$0.00,$590.00,,,$0.00,$10.00,$0.00,$0.00
Kayla Miller,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km0ymgd2ey6s6xabkr20822j,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km0ymgd2ey6s6xabkr20822j/filings/d_01ksk2bq81fnma7z8607zd3gk6,,Mcea Campaign Finance,"May 16, 2026 - May 26, 2026",,,,"$1,683.05","$3,325.00",$0.00,$0.00,"$1,641.95",$0.00,
Kayla Miller,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km0ymgd2ey6s6xabkr20822j,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km0ymgd2ey6s6xabkr20822j/filings/d_01krpmyp25eae9my562e9kwbb4,,Mcea Seed Money,"Unbounded - May 15, 2026",$900.00,$900.00,$0.00,$900.00,,,$0.00,$0.00,$481.05,$0.00
Nina A Milliken,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqz59g6j8,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqz59g6j8/filings/d_01ksr96ewqf938vt7eh1sfkspz,,Mcea Campaign Finance,"April 18, 2026 - May 26, 2026",,,,$0.00,$639.41,$0.00,$35.59,$675.00,$0.00,
Nina A Milliken,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqz59g6j8,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqz59g6j8/filings/d_01kp44ycxjevm998gnae09n83k,,Mcea Seed Money,"January 01, 2026 - April 17, 2026",$200.00,$200.00,$0.00,$964.41,,,$800.00,$35.59,$0.00,$0.00
Nina A Milliken,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqz59g6j8,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqz59g6j8/filings/d_01kf4f3w4qe2jtscj5s2gd2046,,Campaign Finance,"November 06, 2024 - December 31, 2025",$800.00,$800.00,$0.00,$0.00,,,$0.00,$800.00,$0.00,$0.00
Kristi Mathieson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7nk4vkfw7rjt1kn8fa3bpb,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7nk4vkfw7rjt1kn8fa3bpb/filings/d_01ks5hg093e1988e7n9vvnxyjh,,Mcea Campaign Finance,"March 04, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Kristi Mathieson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7nk4vkfw7rjt1kn8fa3bpb,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7nk4vkfw7rjt1kn8fa3bpb/filings/d_01ksp1g3hzeq7a0d5600fqg0yg,,Mcea Seed Money,"Unbounded - June 08, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Matthew Rush,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjtv7x8tfhr9nytnwdmk0r8t,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjtv7x8tfhr9nytnwdmk0r8t/filings/d_01ksd57ctmf36bw7e625nrwrjt,,Mcea Campaign Finance,"April 24, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Matthew Rush,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjtv7x8tfhr9nytnwdmk0r8t,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjtv7x8tfhr9nytnwdmk0r8t/filings/d_01kpxdd00hfky9gett0wvghb2y,,Mcea Seed Money,"January 01, 2026 - April 23, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$0.00
Timothy E Nangle,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdjz1m52z,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdjz1m52z/filings/d_01ksqxgbzaemcb66nqk3nw5cmq,,Mcea Campaign Finance,"May 08, 2026 - May 26, 2026",,,,$77.04,"$2,640.00",$0.00,$10.00,"$2,572.96",$0.00,
Timothy E Nangle,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdjz1m52z,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdjz1m52z/filings/d_01kqah78h7e06tzmv89x9shq5d,,Mcea Seed Money,"Unbounded - May 07, 2026","$2,885.00","$2,885.00",$0.00,"$2,875.00",,,$0.00,$10.00,$77.04,$10.00
David H. McCrea,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8044fd19cs,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8044fd19cs/filings/d_01ksr16sgef8q9s6hvbt19dqab,,Mcea Campaign Finance,"April 09, 2026 - May 26, 2026",,,,$220.78,$675.00,$0.00,$0.00,$454.22,$0.00,
David H. McCrea,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8044fd19cs,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8044fd19cs/filings/d_01knm2k451f58rsa2wbw3j8600,,Mcea Seed Money,"Unbounded - April 08, 2026",$950.00,$950.00,$0.00,$950.00,,,$0.00,$0.00,$0.00,$100.00
Ryan Christopher Otis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvvwc1r92,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvvwc1r92/filings/d_01ksjaad5qfx6byg2qjg1xbb9q,,Mcea Campaign Finance,"April 22, 2026 - May 26, 2026",,,,"$1,616.00","$2,645.00",$0.00,$5.00,"$1,034.00",$0.00,
Ryan Christopher Otis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvvwc1r92,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvvwc1r92/filings/d_01kprhbphmfmptzrtjybqzgmxj,,Mcea Seed Money,"January 01, 2026 - April 21, 2026","$1,700.00","$1,700.00",$0.00,"$2,995.00",,,"$1,300.00",$5.00,$0.00,$0.00
Ryan Christopher Otis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvvwc1r92,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvvwc1r92/filings/d_01kf4f3w4re01aq3f5zz65wzna,,Campaign Finance,"November 06, 2024 - December 31, 2025","$1,300.00","$1,300.00",$0.00,$0.00,,,$0.00,"$1,300.00",$0.00,$0.00
Dana Staples,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh530xyse9pa9c702nb29aea,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh530xyse9pa9c702nb29aea/filings/d_01ksgktdh9f7f8r0yth36c1tma,,Mcea Campaign Finance,"April 23, 2026 - May 26, 2026",,,,$105.62,$675.00,$0.00,$0.00,$569.38,$14.59,
Dana Staples,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh530xyse9pa9c702nb29aea,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh530xyse9pa9c702nb29aea/filings/d_01kpve5a4nfjfbkcb6qzs9k894,,Mcea Seed Money,"Unbounded - April 22, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$14.59,$140.00
Marcus Mrowka,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztkd1wtbg,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztkd1wtbg/filings/d_01kstehjszfhvvbq8y4y4taxp4,,Mcea Campaign Finance,"March 25, 2026 - May 26, 2026",,,,"$2,998.25","$3,324.61",$0.00,$0.39,$326.75,$0.00,
Marcus Mrowka,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztkd1wtbg,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztkd1wtbg/filings/d_01ksp18r6qevevq2s2bc5e57mj,,Mcea Seed Money,"Unbounded - June 08, 2026",$970.00,$970.00,$0.00,$969.61,,,$0.00,$0.39,$0.00,$0.00
Robert Finch Sullebarger,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805qawxr9m,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805qawxr9m/filings/d_01kstpxfhxf5tsd547ntbfgt0p,,Mcea Campaign Finance,"April 24, 2026 - May 26, 2026",,,,$0.00,"$2,649.98",$0.00,$0.02,"$2,650.00",$0.00,
Robert Finch Sullebarger,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805qawxr9m,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805qawxr9m/filings/d_01kpxctsk3ejgbs6nbwamekn7j,,Mcea Seed Money,"Unbounded - April 23, 2026","$2,898.99","$2,898.99",$0.00,"$2,898.97",,,$0.00,$0.02,$0.00,$0.00
Robert Finch Sullebarger,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805qawxr9m,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805qawxr9m/filings/d_01kpca4b2fesg9wxap3rw33qkn,,Mcea Seed Money,"Unbounded - April 23, 2026","$2,898.99","$2,898.99",$0.00,"$2,998.97",,,$0.00,,$0.00,$0.00
Christina Mitchell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7p4z7gecdv7wkwc3ekmxyn,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7p4z7gecdv7wkwc3ekmxyn/filings/d_01ksmtyx1cefrbmbwggb3zja2q,,Mcea Campaign Finance,"May 11, 2026 - May 26, 2026",,,,$300.00,$671.95,$0.00,$3.05,$375.00,$0.00,
Christina Mitchell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7p4z7gecdv7wkwc3ekmxyn,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7p4z7gecdv7wkwc3ekmxyn/filings/d_01kpge1680e0093ct0qkgpzyam,,Mcea Seed Money,"Unbounded - May 10, 2026","$1,000.00","$1,000.00",$0.00,$996.95,,,$0.00,$3.05,$300.00,$0.00
Rachel Mary Phipps,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zs0v5bh6g,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zs0v5bh6g/filings/d_01ksjjbcw9engb3qyv8rrxj802,,Mcea Campaign Finance,"April 04, 2026 - May 26, 2026",,,,"$2,291.16","$3,325.00",$0.00,$0.00,"$1,033.84",$0.00,
Rachel Mary Phipps,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zs0v5bh6g,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zs0v5bh6g/filings/d_01kna5mgsae5dav6a1926va1sc,,Mcea Seed Money,"Unbounded - April 03, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$20.00
Nicole Richards,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn22cp3te7ytcgn4z598z4zy,11-Day Pre-Primary Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn22cp3te7ytcgn4z598z4zy/filings/d_01kstq6j4yf6trcrw099zd9vrf,,Campaign Finance,"January 01, 2026 - May 26, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Katrina Couch Ray-Saulis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8fb546fm4apty7788gbjqs,48-Hour Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8fb546fm4apty7788gbjqs/filings/d_01kt4rj8npf719vq9kme79gkrq,,Twenty Four Hour,"June 02, 2026 - June 02, 2026",$0.00,$0.00,$0.00,"$1,591.44",,,,,,
Katrina Couch Ray-Saulis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8fb546fm4apty7788gbjqs,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8fb546fm4apty7788gbjqs/filings/d_01kstezk3me5p90q1d5gmemdyh,,Mcea Campaign Finance,"May 22, 2026 - May 26, 2026",,,,$0.00,"$3,325.00",$0.00,$0.00,"$3,325.00",$306.19,
Katrina Couch Ray-Saulis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8fb546fm4apty7788gbjqs,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8fb546fm4apty7788gbjqs/filings/d_01ks84nac5efgv9jc1x2afw8ve,,Mcea Seed Money,"Unbounded - May 21, 2026",$980.00,$980.00,$0.00,$980.00,,,$0.00,$0.00,$306.19,$0.00
Katrina Couch Ray-Saulis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8fb546fm4apty7788gbjqs,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8fb546fm4apty7788gbjqs/filings/d_01ks3h85ryfvnttpxj8r1xcc7c,,Mcea Seed Money,"Unbounded - May 21, 2026",$980.00,$980.00,$0.00,"$1,286.19",,,$0.00,,$0.00,$0.00
Meagan Smith,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km3s9e27fjpram52qveyqvkg,11-Day Pre-Primary Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km3s9e27fjpram52qveyqvkg/filings/d_01ksx8g8t7fqkadg2z2ek55d22,,Campaign Finance,"January 01, 2026 - May 26, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
